,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,4,KS,Kansas,Shawnee County,71015,25394,36,7.25,12.49,750,507,594,786,1045,1257,68600,20580,31543,789,515,377,649,225,20280,23760,31440,41800,50280,9.75,11.42,15.12,20.1,24.17,54,63,83,111,133,31,37,48,64,77
COUNTY,4,KS,Kansas,Sheridan County,1151,254,22,7.25,14.4,750,508,528,697,896,1020,65900,19770,37047,926,494,377,749,225,20320,21120,27880,35840,40800,9.77,10.15,13.4,17.23,19.62,54,56,74,95,108,27,28,37,48,54
COUNTY,4,KS,Kansas,Sherman County,2804,1039,37,7.25,10.71,750,542,559,744,933,1017,53200,15960,33359,834,399,377,557,225,21680,22360,29760,37320,40680,10.42,10.75,14.31,17.94,19.56,58,59,79,99,108,39,40,53,67,73
COUNTY,4,KS,Kansas,Smith County,1698,382,22,7.25,8.97,750,508,583,697,923,1020,58200,17460,27482,687,437,377,466,225,20320,23320,27880,36920,40800,9.77,11.21,13.4,17.75,19.62,54,62,74,98,108,44,50,60,79,88
COUNTY,4,KS,Kansas,Stafford County,1770,270,15,7.25,11.1,750,508,524,697,874,949,63200,18960,31180,780,474,377,577,225,20320,20960,27880,34960,37960,9.77,10.08,13.4,16.81,18.25,54,56,74,93,101,35,36,48,61,66
COUNTY,4,KS,Kansas,Stanton County,810,180,22,7.25,13.56,750,508,524,697,874,1020,57300,17190,32480,812,430,377,705,225,20320,20960,27880,34960,40800,9.77,10.08,13.4,16.81,19.62,54,56,74,93,108,29,30,40,50,58
COUNTY,4,KS,Kansas,Stevens County,1910,491,26,7.25,12.14,750,550,567,754,945,1103,66700,20010,37157,929,500,377,631,225,22000,22680,30160,37800,44120,10.58,10.9,14.5,18.17,21.21,58,60,80,100,117,35,36,48,60,70
COUNTY,4,KS,Kansas,Sumner County,9103,2251,25,7.25,9.05,750,454,544,712,893,1139,68400,20520,27310,683,513,377,470,225,18160,21760,28480,35720,45560,8.73,10.46,13.69,17.17,21.9,48,58,76,95,121,39,46,61,76,97
COUNTY,4,KS,Kansas,Thomas County,3233,862,27,7.25,7.63,750,508,580,697,1014,1062,72100,21630,22638,566,541,377,397,225,20320,23200,27880,40560,42480,9.77,11.15,13.4,19.5,20.42,54,62,74,108,113,51,58,70,102,107
COUNTY,4,KS,Kansas,Trego County,1334,283,21,7.25,8.2,750,508,607,697,874,949,68000,20400,29232,731,510,377,426,225,20320,24280,27880,34960,37960,9.77,11.67,13.4,16.81,18.25,54,64,74,93,101,48,57,65,82,89
COUNTY,4,KS,Kansas,Wabaunsee County,2707,398,15,7.25,9.92,750,507,594,786,1045,1257,68600,20580,37157,929,515,377,516,225,20280,23760,31440,41800,50280,9.75,11.42,15.12,20.1,24.17,54,63,83,111,133,39,46,61,81,97
COUNTY,4,KS,Kansas,Wallace County,587,144,25,7.25,12.4,750,508,607,697,1014,1020,79000,23700,32361,809,593,377,645,225,20320,24280,27880,40560,40800,9.77,11.67,13.4,19.5,19.62,54,64,74,108,108,32,38,43,63,63
COUNTY,4,KS,Kansas,Washington County,2412,500,21,7.25,9.45,750,508,524,697,874,949,59300,17790,32762,819,445,377,492,225,20320,20960,27880,34960,37960,9.77,10.08,13.4,16.81,18.25,54,56,74,93,101,41,43,57,71,77
COUNTY,4,KS,Kansas,Wichita County,839,210,25,7.25,14.18,750,508,524,697,1014,1020,62200,18660,43669,1092,467,377,737,225,20320,20960,27880,40560,40800,9.77,10.08,13.4,19.5,19.62,54,56,74,108,108,28,28,38,55,55
COUNTY,4,KS,Kansas,Wilson County,3878,961,25,7.25,10.22,750,508,524,697,936,1057,51700,15510,26089,652,388,377,531,225,20320,20960,27880,37440,42280,9.77,10.08,13.4,18,20.33,54,56,74,99,112,38,39,52,70,80
COUNTY,4,KS,Kansas,Woodson County,1521,301,20,7.25,7.84,750,508,524,697,874,1020,52900,15870,21390,535,397,377,408,225,20320,20960,27880,34960,40800,9.77,10.08,13.4,16.81,19.62,54,56,74,93,108,50,51,68,86,100
COUNTY,4,KS,Kansas,Wyandotte County *,59067,25289,43,7.25,16.66,750,568,713,869,1181,1340,80000,24000,29015,725,600,377,866,225,22720,28520,34760,47240,53600,10.92,13.71,16.71,22.71,25.77,60,76,92,125,142,26,33,40,55,62
STATE,1,KY,Kentucky,,1718217,570314,33,7.25,12.93,750,526,590,749,1020,1180,60923,18277,28298,707,457,377,672,225,21044,23596,29955,40791,47203,10.12,11.34,14.4,19.61,22.69,56,63,79,108,125,31,35,45,61,70
NONMETRO,2,KY,Kentucky,,716441,210207,29,7.25,10.66,750,464,518,649,858,955,49577,14873,22132,553,372,377,554,225,18575,20702,25954,34323,38184,8.93,9.95,12.48,16.5,18.36,49,55,69,91,101,34,37,47,62,69
METRO,3,KY,Kentucky,Allen County HMFA,7705,2301,30,7.25,11.44,750,502,529,666,898,1106,56100,16830,28069,702,421,377,595,225,20080,21160,26640,35920,44240,9.65,10.17,12.81,17.27,21.27,53,56,71,95,117,34,36,45,60,74
METRO,3,KY,Kentucky,Bowling Green HMFA,50686,20553,41,7.25,12.46,750,581,612,777,1054,1327,57400,17220,29840,746,431,377,648,225,23240,24480,31080,42160,53080,11.17,11.77,14.94,20.27,25.52,62,65,82,112,141,36,38,48,65,82
METRO,3,KY,Kentucky,Butler County HMFA,5153,1357,26,7.25,10.28,750,467,479,620,857,981,45200,13560,24023,601,339,377,535,225,18680,19160,24800,34280,39240,8.98,9.21,11.92,16.48,18.87,50,51,66,91,104,35,36,46,64,73
METRO,3,KY,Kentucky,Cincinnati  HMFA,156019,48678,31,7.25,14.07,750,556,643,845,1178,1370,78300,23490,35978,899,587,377,732,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,30,35,46,64,75
METRO,3,KY,Kentucky,Clarksville MSA,31359,14509,46,7.25,14.52,750,544,660,838,1169,1314,55400,16620,32014,800,416,377,755,225,21760,26400,33520,46760,52560,10.46,12.69,16.12,22.48,25.27,58,70,89,124,139,29,35,44,62,70
METRO,3,KY,Kentucky,Elizabethtown HMFA,45907,16623,36,7.25,12.79,750,531,563,749,1089,1319,61500,18450,36592,915,461,377,665,225,21240,22520,29960,43560,52760,10.21,10.83,14.4,20.94,25.37,56,60,79,116,140,32,34,45,65,79
METRO,3,KY,Kentucky,Evansville MSA,18914,7366,39,7.25,11.52,750,555,595,769,968,1047,65100,19530,24944,624,488,377,599,225,22200,23800,30760,38720,41880,10.67,11.44,14.79,18.62,20.13,59,63,82,103,111,37,40,51,65,70
METRO,3,KY,Kentucky,Grant County HMFA,8327,2541,31,7.25,10.23,750,514,587,781,1136,1259,52500,15750,24265,607,394,377,532,225,20560,23480,31240,45440,50360,9.88,11.29,15.02,21.85,24.21,55,62,83,121,134,39,44,59,85,95
METRO,3,KY,Kentucky,Huntington-Ashland HMFA,33675,9205,27,7.25,11.57,750,469,575,696,937,1134,54900,16470,25367,634,412,377,602,225,18760,23000,27840,37480,45360,9.02,11.06,13.38,18.02,21.81,50,61,74,99,120,31,38,46,62,75
METRO,3,KY,Kentucky,Lexington-Fayette MSA,195955,82648,42,7.25,13.22,750,568,639,820,1159,1444,70100,21030,31822,796,526,377,688,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,33,37,48,67,84
METRO,3,KY,Kentucky,Louisville HMFA,375035,132222,35,7.25,15.1,750,578,656,821,1119,1259,71500,21450,31594,790,536,377,785,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,29,33,42,57,64
METRO,3,KY,Kentucky,Meade County HMFA,10631,2961,28,7.25,13.28,750,492,551,724,1053,1275,60500,18150,36551,914,454,377,690,225,19680,22040,28960,42120,51000,9.46,10.6,13.92,20.25,24.52,52,58,77,112,135,29,32,42,61,74
METRO,3,KY,Kentucky,Owensboro MSA,46287,14048,30,7.25,11.85,750,534,537,713,902,1112,62300,18690,27499,687,467,377,616,225,21360,21480,28520,36080,44480,10.27,10.33,13.71,17.35,21.38,57,57,76,96,118,35,35,46,59,72
METRO,3,KY,Kentucky,Shelby County HMFA,16123,5095,32,7.25,10.32,750,564,601,800,1129,1366,75200,22560,33584,840,564,377,537,225,22560,24040,32000,45160,54640,10.85,11.56,15.38,21.71,26.27,60,64,85,120,145,42,45,60,84,102
COUNTY,4,KY,Kentucky,Adair County,7126,1745,24,7.25,8.56,750,443,466,620,814,851,48100,14430,20198,505,361,377,445,225,17720,18640,24800,32560,34040,8.52,8.96,11.92,15.65,16.37,47,49,66,86,90,40,42,56,73,77
COUNTY,4,KY,Kentucky,Allen County,7705,2301,30,7.25,11.44,750,502,529,666,898,1106,56100,16830,28069,702,421,377,595,225,20080,21160,26640,35920,44240,9.65,10.17,12.81,17.27,21.27,53,56,71,95,117,34,36,45,60,74
COUNTY,4,KY,Kentucky,Anderson County,8554,2103,25,7.25,10.58,750,554,645,741,1006,1009,69400,20820,32436,811,521,377,550,225,22160,25800,29640,40240,40360,10.65,12.4,14.25,19.35,19.4,59,68,79,107,107,40,47,54,73,73
COUNTY,4,KY,Kentucky,Ballard County,3252,605,19,7.25,12.76,750,456,480,638,823,908,55800,16740,21383,535,419,377,663,225,18240,19200,25520,32920,36320,8.77,9.23,12.27,15.83,17.46,48,51,68,87,96,28,29,38,50,55
COUNTY,4,KY,Kentucky,Barren County,16766,5558,33,7.25,9.95,750,412,526,646,851,924,50000,15000,23385,585,375,377,517,225,16480,21040,25840,34040,36960,7.92,10.12,12.42,16.37,17.77,44,56,69,90,98,32,41,50,66,71
COUNTY,4,KY,Kentucky,Bath County,4450,1199,27,7.25,9.31,750,449,472,628,787,868,40500,12150,20650,516,304,377,484,225,17960,18880,25120,31480,34720,8.63,9.08,12.08,15.13,16.69,48,50,67,84,92,37,39,52,65,72
COUNTY,4,KY,Kentucky,Bell County,10978,3785,34,7.25,8.28,750,480,506,620,838,844,31700,9510,11955,299,238,377,430,225,19200,20240,24800,33520,33760,9.23,9.73,11.92,16.12,16.23,51,54,66,89,90,45,47,58,78,78
COUNTY,4,KY,Kentucky,Boone County,45649,12769,28,7.25,14.78,750,556,643,845,1178,1370,78300,23490,45833,1146,587,377,768,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,29,33,44,61,71
COUNTY,4,KY,Kentucky,Bourbon County,8043,3089,38,7.25,11.77,750,568,639,820,1159,1444,70100,21030,27160,679,526,377,612,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,37,42,54,76,94
COUNTY,4,KY,Kentucky,Boyd County,19386,5891,30,7.25,11.84,750,469,575,696,937,1134,54900,16470,24135,603,412,377,616,225,18760,23000,27840,37480,45360,9.02,11.06,13.38,18.02,21.81,50,61,74,99,120,30,37,45,61,74
COUNTY,4,KY,Kentucky,Boyle County,10882,3883,36,7.25,12.03,750,494,528,691,927,1080,56100,16830,26079,652,421,377,626,225,19760,21120,27640,37080,43200,9.5,10.15,13.29,17.83,20.77,52,56,73,98,115,32,34,44,59,69
COUNTY,4,KY,Kentucky,Bracken County,3412,844,25,7.25,10.6,750,556,643,845,1178,1370,78300,23490,20621,516,587,377,551,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,40,47,61,85,99
COUNTY,4,KY,Kentucky,Breathitt County,5304,1328,25,7.25,7.61,750,443,466,620,854,983,34500,10350,12992,325,259,377,396,225,17720,18640,24800,34160,39320,8.52,8.96,11.92,16.42,18.9,47,49,66,91,104,45,47,63,86,99
COUNTY,4,KY,Kentucky,Breckinridge County,7343,1519,21,7.25,8.81,750,443,474,620,777,1066,57400,17220,25136,628,431,377,458,225,17720,18960,24800,31080,42640,8.52,9.12,11.92,14.94,20.5,47,50,66,82,113,39,41,54,68,93
COUNTY,4,KY,Kentucky,Bullitt County,28533,4989,17,7.25,8.9,750,578,656,821,1119,1259,71500,21450,31482,787,536,377,463,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,50,57,71,97,109
COUNTY,4,KY,Kentucky,Butler County,5153,1357,26,7.25,10.28,750,467,479,620,857,981,45200,13560,24023,601,339,377,535,225,18680,19160,24800,34280,39240,8.98,9.21,11.92,16.48,18.87,50,51,66,91,104,35,36,46,64,73
COUNTY,4,KY,Kentucky,Caldwell County,5322,1597,30,7.25,10.65,750,443,540,620,814,857,54700,16410,30183,755,410,377,554,225,17720,21600,24800,32560,34280,8.52,10.38,11.92,15.65,16.48,47,57,66,86,91,32,39,45,59,62
COUNTY,4,KY,Kentucky,Calloway County,15002,5606,37,7.25,6.83,750,448,532,702,953,956,56700,17010,16726,418,425,377,355,225,17920,21280,28080,38120,38240,8.62,10.23,13.5,18.33,18.38,48,56,74,101,101,50,60,79,107,108
COUNTY,4,KY,Kentucky,Campbell County,35954,11424,32,7.25,10.93,750,556,643,845,1178,1370,78300,23490,32393,810,587,377,568,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,39,45,59,83,96
COUNTY,4,KY,Kentucky,Carlisle County,2088,443,21,7.25,15.41,750,468,492,655,821,906,52500,15750,30345,759,394,377,801,225,18720,19680,26200,32840,36240,9,9.46,12.6,15.79,17.42,50,52,69,87,96,23,25,33,41,45
COUNTY,4,KY,Kentucky,Carroll County,4030,1575,39,7.25,16.29,750,493,520,689,928,1028,50600,15180,25108,628,380,377,847,225,19720,20800,27560,37120,41120,9.48,10,13.25,17.85,19.77,52,55,73,98,109,23,25,33,44,49
COUNTY,4,KY,Kentucky,Carter County,10647,2434,23,7.25,9.52,750,445,468,622,780,960,47900,14370,24119,603,359,377,495,225,17800,18720,24880,31200,38400,8.56,9,11.96,15,18.46,47,50,66,83,102,36,38,50,63,78
COUNTY,4,KY,Kentucky,Casey County,6412,1342,21,7.25,12.09,750,443,540,620,834,844,45900,13770,26273,657,344,377,629,225,17720,21600,24800,33360,33760,8.52,10.38,11.92,16.04,16.23,47,57,66,88,90,28,34,39,53,54
COUNTY,4,KY,Kentucky,Christian County,25382,13389,53,7.25,15.11,750,544,660,838,1169,1314,55400,16620,32482,812,416,377,786,225,21760,26400,33520,46760,52560,10.46,12.69,16.12,22.48,25.27,58,70,89,124,139,28,34,43,60,67
COUNTY,4,KY,Kentucky,Clark County,14183,5122,36,7.25,11.56,750,568,639,820,1159,1444,70100,21030,29081,727,526,377,601,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,38,43,55,77,96
COUNTY,4,KY,Kentucky,Clay County,7679,2119,28,7.25,10.57,750,443,526,620,777,879,28800,8640,15865,397,216,377,550,225,17720,21040,24800,31080,35160,8.52,10.12,11.92,14.94,16.9,47,56,66,82,93,32,38,45,57,64
COUNTY,4,KY,Kentucky,Clinton County,3863,1082,28,7.25,10.74,750,443,487,620,777,844,36400,10920,22316,558,273,377,558,225,17720,19480,24800,31080,33760,8.52,9.37,11.92,14.94,16.23,47,52,66,82,90,32,35,44,56,60
COUNTY,4,KY,Kentucky,Crittenden County,3721,794,21,7.25,11.45,750,443,483,620,854,857,54400,16320,28798,720,408,377,595,225,17720,19320,24800,34160,34280,8.52,9.29,11.92,16.42,16.48,47,51,66,91,91,30,32,42,57,58
COUNTY,4,KY,Kentucky,Cumberland County,2771,776,28,7.25,9.73,750,443,493,620,777,857,38300,11490,19272,482,287,377,506,225,17720,19720,24800,31080,34280,8.52,9.48,11.92,14.94,16.48,47,52,66,82,91,35,39,49,61,68
COUNTY,4,KY,Kentucky,Daviess County,39282,12535,32,7.25,11.43,750,534,537,713,902,1112,62300,18690,27820,696,467,377,594,225,21360,21480,28520,36080,44480,10.27,10.33,13.71,17.35,21.38,57,57,76,96,118,36,36,48,61,75
COUNTY,4,KY,Kentucky,Edmonson County,4712,956,20,7.25,8.92,750,581,612,777,1054,1327,57400,17220,25748,644,431,377,464,225,23240,24480,31080,42160,53080,11.17,11.77,14.94,20.27,25.52,62,65,82,112,141,50,53,67,91,114
COUNTY,4,KY,Kentucky,Elliott County,2624,594,23,7.25,5.87,750,443,493,620,824,857,36700,11010,14460,362,275,377,305,225,17720,19720,24800,32960,34280,8.52,9.48,11.92,15.85,16.48,47,52,66,87,91,58,65,81,108,112
COUNTY,4,KY,Kentucky,Estill County,5622,1708,30,7.25,9.49,750,443,484,620,829,913,42600,12780,18012,450,320,377,494,225,17720,19360,24800,33160,36520,8.52,9.31,11.92,15.94,17.56,47,51,66,88,97,36,39,50,67,74
COUNTY,4,KY,Kentucky,Fayette County,126439,58709,46,7.25,13.39,750,568,639,820,1159,1444,70100,21030,31853,796,526,377,696,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,33,37,47,67,83
COUNTY,4,KY,Kentucky,Fleming County,5730,1599,28,7.25,8.66,750,443,466,620,805,857,47900,14370,20605,515,359,377,450,225,17720,18640,24800,32200,34280,8.52,8.96,11.92,15.48,16.48,47,49,66,85,91,39,41,55,72,76
COUNTY,4,KY,Kentucky,Floyd County,15233,4571,30,7.25,9.9,750,525,527,620,840,857,40300,12090,15896,397,302,377,515,225,21000,21080,24800,33600,34280,10.1,10.13,11.92,16.15,16.48,56,56,66,89,91,41,41,48,65,67
COUNTY,4,KY,Kentucky,Franklin County,20978,7855,37,7.25,12.64,750,526,608,736,989,1064,65200,19560,33181,830,489,377,657,225,21040,24320,29440,39560,42560,10.12,11.69,14.15,19.02,20.46,56,65,78,105,113,32,37,45,60,65
COUNTY,4,KY,Kentucky,Fulton County,2611,1048,40,7.25,10.47,750,443,466,620,812,844,42300,12690,18210,455,317,377,544,225,17720,18640,24800,32480,33760,8.52,8.96,11.92,15.62,16.23,47,49,66,86,90,33,34,46,60,62
COUNTY,4,KY,Kentucky,Gallatin County,2962,911,31,7.25,16.06,750,556,643,845,1178,1370,78300,23490,36986,925,587,377,835,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,27,31,40,56,66
COUNTY,4,KY,Kentucky,Garrard County,6732,1548,23,7.25,8.37,750,470,523,657,824,993,55700,16710,23849,596,418,377,435,225,18800,20920,26280,32960,39720,9.04,10.06,12.63,15.85,19.1,50,55,70,87,105,43,48,60,76,91
COUNTY,4,KY,Kentucky,Grant County,8327,2541,31,7.25,10.23,750,514,587,781,1136,1259,52500,15750,24265,607,394,377,532,225,20560,23480,31240,45440,50360,9.88,11.29,15.02,21.85,24.21,55,62,83,121,134,39,44,59,85,95
COUNTY,4,KY,Kentucky,Graves County,14268,3822,27,7.25,8.78,750,443,474,620,804,954,54800,16440,21021,526,411,377,457,225,17720,18960,24800,32160,38160,8.52,9.12,11.92,15.46,18.35,47,50,66,85,101,39,42,54,70,84
COUNTY,4,KY,Kentucky,Grayson County,9736,2686,28,7.25,10.39,750,443,540,620,854,857,46700,14010,23950,599,350,377,540,225,17720,21600,24800,34160,34280,8.52,10.38,11.92,16.42,16.48,47,57,66,91,91,33,40,46,63,63
COUNTY,4,KY,Kentucky,Green County,4528,954,21,7.25,6.9,750,443,466,620,777,844,49200,14760,18189,455,369,377,359,225,17720,18640,24800,31080,33760,8.52,8.96,11.92,14.94,16.23,47,49,66,82,90,49,52,69,87,94
COUNTY,4,KY,Kentucky,Greenup County,14289,3314,23,7.25,10.71,750,469,575,696,937,1134,54900,16470,27558,689,412,377,557,225,18760,23000,27840,37480,45360,9.02,11.06,13.38,18.02,21.81,50,61,74,99,120,34,41,50,67,81
COUNTY,4,KY,Kentucky,Hancock County,3254,748,23,7.25,17.03,750,534,537,713,902,1112,62300,18690,24838,621,467,377,885,225,21360,21480,28520,36080,44480,10.27,10.33,13.71,17.35,21.38,57,57,76,96,118,24,24,32,41,50
COUNTY,4,KY,Kentucky,Hardin County,40422,15054,37,7.25,13.07,750,531,563,749,1089,1319,61500,18450,38046,951,461,377,679,225,21240,22520,29960,43560,52760,10.21,10.83,14.4,20.94,25.37,56,60,79,116,140,31,33,44,64,78
COUNTY,4,KY,Kentucky,Harlan County,11429,3521,31,7.25,10.24,750,482,485,620,836,844,36500,10950,15777,394,274,377,532,225,19280,19400,24800,33440,33760,9.27,9.33,11.92,16.08,16.23,51,51,66,89,90,36,36,47,63,63
COUNTY,4,KY,Kentucky,Harrison County,7135,2193,31,7.25,10.43,750,395,540,620,842,921,51100,15330,21513,538,383,377,542,225,15800,21600,24800,33680,36840,7.6,10.38,11.92,16.19,17.71,42,57,66,89,98,29,40,46,62,68
COUNTY,4,KY,Kentucky,Hart County,7387,2042,28,7.25,9.62,750,460,529,620,883,886,44700,13410,21183,530,335,377,500,225,18400,21160,24800,35320,35440,8.85,10.17,11.92,16.98,17.04,49,56,66,94,94,37,42,50,71,71
COUNTY,4,KY,Kentucky,Henderson County,18914,7366,39,7.25,11.52,750,555,595,769,968,1047,65100,19530,24944,624,488,377,599,225,22200,23800,30760,38720,41880,10.67,11.44,14.79,18.62,20.13,59,63,82,103,111,37,40,51,65,70
COUNTY,4,KY,Kentucky,Henry County,5996,1904,32,7.25,10.01,750,578,656,821,1119,1259,71500,21450,29029,726,536,377,520,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,44,50,63,86,97
COUNTY,4,KY,Kentucky,Hickman County,1856,368,20,7.25,10.59,750,443,540,620,841,844,51300,15390,31180,780,385,377,551,225,17720,21600,24800,33640,33760,8.52,10.38,11.92,16.17,16.23,47,57,66,89,90,32,39,45,61,61
COUNTY,4,KY,Kentucky,Hopkins County,18394,5204,28,7.25,12.54,750,450,473,629,812,958,58500,17550,27035,676,439,377,652,225,18000,18920,25160,32480,38320,8.65,9.1,12.1,15.62,18.42,48,50,67,86,102,28,29,39,50,59
COUNTY,4,KY,Kentucky,Jackson County,5546,1494,27,7.25,10.33,750,443,493,620,838,844,33500,10050,21103,528,251,377,537,225,17720,19720,24800,33520,33760,8.52,9.48,11.92,16.12,16.23,47,52,66,89,90,33,37,46,62,63
COUNTY,4,KY,Kentucky,Jefferson County,310355,120374,39,7.25,15.66,750,578,656,821,1119,1259,71500,21450,31535,788,536,377,814,225,23120,26240,32840,44760,50360,11.12,12.62,15.79,21.52,24.21,61,70,87,119,134,28,32,40,55,62
COUNTY,4,KY,Kentucky,Jessamine County,18401,6866,37,7.25,9.72,750,568,639,820,1159,1444,70100,21030,28416,710,526,377,506,225,22720,25560,32800,46360,57760,10.92,12.29,15.77,22.29,27.77,60,68,87,123,153,45,51,65,92,114
COUNTY,4,KY,Kentucky,Johnson County,8820,2271,26,7.25,8.88,750,443,471,620,841,844,46100,13830,20616,515,346,377,462,225,17720,18840,24800,33640,33760,8.52,9.06,11.92,16.17,16.23,47,50,66,89,90,38,41,54,73,73
COUNTY,4,KY,Kentucky,Kenton County,62746,21591,34,7.25,14.45,750,556,643,845,1178,1370,78300,23490,32698,817,587,377,751,225,22240,25720,33800,47120,54800,10.69,12.37,16.25,22.65,26.35,59,68,90,125,145,30,34,45,63,73
COUNTY,4,KY,Kentucky,Knott County,6064,1235,20,7.25,9.21,750,443,466,620,809,852,42800,12840,17147,429,321,377,479,225,17720,18640,24800,32360,34080,8.52,8.96,11.92,15.56,16.38,47,49,66,86,90,37,39,52,68,71
COUNTY,4,KY,Kentucky,Knox County,12333,4269,35,7.25,8.89,750,443,524,620,841,1008,35500,10650,16402,410,266,377,463,225,17720,20960,24800,33640,40320,8.52,10.08,11.92,16.17,19.38,47,56,66,89,107,38,45,54,73,87
COUNTY,4,KY,Kentucky,Larue County,5485,1569,29,7.25,8.1,750,531,563,749,1089,1319,61500,18450,22644,566,461,377,421,225,21240,22520,29960,43560,52760,10.21,10.83,14.4,20.94,25.37,56,60,79,116,140,50,53,71,103,125
COUNTY,4,KY,Kentucky,Laurel County,23029,7099,31,7.25,10.58,750,443,537,620,871,936,45600,13680,22871,572,342,377,550,225,17720,21480,24800,34840,37440,8.52,10.33,11.92,16.75,18,47,57,66,92,99,32,39,45,63,68
COUNTY,4,KY,Kentucky,Lawrence County,6142,1400,23,7.25,7.38,750,443,540,620,822,1092,46900,14070,14971,374,352,377,384,225,17720,21600,24800,32880,43680,8.52,10.38,11.92,15.81,21,47,57,66,87,116,46,56,65,86,114
COUNTY,4,KY,Kentucky,Lee County,2821,719,25,7.25,8.2,750,443,483,620,797,857,34600,10380,10143,254,260,377,426,225,17720,19320,24800,31880,34280,8.52,9.29,11.92,15.33,16.48,47,51,66,85,91,42,45,58,75,80
COUNTY,4,KY,Kentucky,Leslie County,4074,869,21,7.25,9.44,750,465,493,620,854,857,40600,12180,13652,341,305,377,491,225,18600,19720,24800,34160,34280,8.94,9.48,11.92,16.42,16.48,49,52,66,91,91,38,40,51,70,70
COUNTY,4,KY,Kentucky,Letcher County,10017,2625,26,7.25,9.65,750,443,487,620,777,857,43800,13140,17241,431,329,377,502,225,17720,19480,24800,31080,34280,8.52,9.37,11.92,14.94,16.48,47,52,66,82,91,35,39,49,62,68
COUNTY,4,KY,Kentucky,Lewis County,5431,1397,26,7.25,8.3,750,443,540,620,792,942,40200,12060,16770,419,302,377,432,225,17720,21600,24800,31680,37680,8.52,10.38,11.92,15.23,18.12,47,57,66,84,100,41,50,57,73,87
COUNTY,4,KY,Kentucky,Lincoln County,9721,2559,26,7.25,8.89,750,443,477,620,799,999,45700,13710,20547,514,343,377,462,225,17720,19080,24800,31960,39960,8.52,9.17,11.92,15.37,19.21,47,51,66,85,106,38,41,54,69,86
COUNTY,4,KY,Kentucky,Livingston County,3880,988,25,7.25,12.33,750,443,515,620,841,844,53400,16020,25624,641,401,377,641,225,17720,20600,24800,33640,33760,8.52,9.9,11.92,16.17,16.23,47,55,66,89,90,28,32,39,52,53
COUNTY,4,KY,Kentucky,Logan County,10682,3392,32,7.25,11.98,750,456,532,630,815,858,50500,15150,22424,561,379,377,623,225,18240,21280,25200,32600,34320,8.77,10.23,12.12,15.67,16.5,48,56,67,86,91,29,34,40,52,55
COUNTY,4,KY,Kentucky,Lyon County,3326,629,19,7.25,6.04,750,443,471,620,839,857,60500,18150,23976,599,454,377,314,225,17720,18840,24800,33560,34280,8.52,9.06,11.92,16.13,16.48,47,50,66,89,91,56,60,79,107,109
COUNTY,4,KY,Kentucky,McCracken County,27950,9346,33,7.25,11.96,750,475,540,684,878,1060,69800,20940,25328,633,524,377,622,225,19000,21600,27360,35120,42400,9.13,10.38,13.15,16.88,20.38,50,57,73,93,112,31,35,44,56,68
